Date,Open,High,Low,Close,Adj Close,Volume,SMA_50,SMA_200,RSI_14,MACD,MACD_signal,BB_upper,BB_middle,BB_lower
2020-01-01,0.09712503968464314,0.05289348988118654,0.05853041904889821,0.09661750246860301,0.09661750246860301,0.0,,,,,,,,
2020-01-02,0.09415326892692223,0.05089196555492473,0.07000653081017912,0.09661750246860301,0.09661750246860301,0.0,,,,,,,,
2020-01-03,0.0184143891988107,-0.022884183239291596,0.005813251854925736,0.01891399659274243,0.01891399659274243,0.0,,,,,,,,
2020-01-06,0.00526655493735984,0.020908866044962938,0.0563922558554966,0.004003475914173295,0.004003475914173295,0.0,,,,,,,,
2020-01-07,0.057779095031239944,0.006951216273084173,0.02012349985950226,0.06069721416219693,0.06069721416219693,0.0,,,,,,,,
2020-01-08,-0.005316626151228144,-0.04747244565793842,-0.01734366962348132,-0.007358528396615615,-0.007358528396615615,0.0,,,,,,,,
2020-01-09,-0.07029784582581304,-0.11572309967066753,-0.041974416384024216,-0.07269474202663252,-0.07269474202663252,0.0,,,,,,,,
2020-01-10,-0.07845895870213954,-0.11768864579238564,-0.05579897196608217,-0.07599756302222502,-0.07599756302222502,0.0,,,,,,,,
2020-01-13,-0.06699024996352256,-0.08008574127875893,-0.012330430595610169,-0.06725380863185249,-0.06725380863185249,0.0,,,,,,,,
2020-01-14,-0.03874529493982249,-0.07830955412830143,-0.025624632382956685,-0.037260217853021624,-0.037260217853021624,0.0,,,,,,,,
2020-01-15,-0.04635107691698175,-0.050244660997245234,-0.0026835742034483096,-0.044865521167688015,-0.044865521167688015,0.0,,,,,,,,
2020-01-16,-0.01009509844916,-0.036773663781515274,0.012192384515483386,-0.008513859307055689,-0.008513859307055689,0.0,,,,,,,,
2020-01-17,-0.03322200383455693,-0.07955364256950673,-0.0536887221302933,-0.031209734870749416,-0.031209734870749416,0.0,,,,,,,,
2020-01-20,-0.10057276042013041,-0.14319151204224173,-0.06941138603025,-0.10198688189554986,-0.10198688189554986,0.0,,,,,,,,
2020-01-21,-0.09863473062674069,-0.11965229832439817,-0.05541562852148277,-0.09830707792431054,-0.09830707792431054,0.0,,,-1.6083186961266385,,,,,
2020-01-22,-0.11528527701234934,-0.15454547595923876,-0.07860046335750603,-0.11611342802774895,-0.11611342802774895,0.0,,,-1.7027280344281412,,,,,
2020-01-23,-0.09688994097731918,-0.14593342994614628,-0.1325848969872544,-0.09908167478471921,-0.09908167478471921,0.0,,,-1.4711296880259042,,,,,
2020-01-24,-0.16331201920110378,-0.21323539551284565,-0.15726960957252198,-0.16393212428193746,-0.16393212428193746,0.0,,,-1.8202833130523908,,,,,
2020-01-27,-0.20897110059677224,-0.246403512919463,-0.17469498828706742,-0.21091433094837578,-0.21091433094837578,0.0,,,-2.0321676373045996,,,,,
2020-01-28,-0.2194886175587656,-0.26767420616156584,-0.19265444257733635,-0.2197068493057474,-0.2197068493057474,0.0,,,-2.0699709710390795,,,-0.16769055494067062,-0.061137966395898295,0.037813512251496866
